tweet_id,doc,text
1575914563886727169,doc_25,"#Biden says the US and its allies are not afraid of #Putin, would defend every inch of #NATO territory 
#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian https://t.co/Dbg1sFbXmI"
1575912627796029440,doc_42,"Something big happening currently 

#Russia #Ukraine #UkraineRussiaWar https://t.co/J02hCwvvmo"
1575909339994279936,doc_76,"🇺🇦 🇷🇺   
(NSFW) Freshly Released Footage From The Battle Of Mariupol
Footage released by Mykola ""Frostovik"" Kushch, a member of the Azov Battalion who was sentenced to death by Russian forces.

#Ukraine #Russia #war #putin  #kharkiv #UkraineRussiaWar  #kyiv #NATO https://t.co/pvpJCOIubJ"
1575908958438506496,doc_83,Will #NATO accept #Ukraine as a new member and face directly #Russia as an enemy against the #West ? Difficult situation! #UkraineRussiaWar
1575898887792926720,doc_185,Russia's annexation of parts of Ukraine and its subsequent diplomacy should  be met with silence.  Stay the course.  #UkraineWar #UkraineRussiaWar
1575898851378343936,doc_186,"🔥🤦‍♂️🇺🇦 Torture chamber found in liberated #vovchansk  – inhuman conditions prayers on the walls of cells ~ forensic scientists, explosives technicians, detectives and prosecutors conduct an investigation  ~

#Ukraine #UkraineRussiaWar #Europe #RussiaWarCrimes #news #USA #New https://t.co/Xre3nPtQQZ"
1575897463046578177,doc_201,"#UkraineRussiaWar #EuropeanEnergyCrisis
#Sabotage in the #Baltic: #Attacks Expose #Vulnerability of #European #Infrastructure 
🇺🇦💥🪆🇪🇺🪫🌊🥷💡🌩️🚨⚠️
https://t.co/91DuSEbjZc via @derspiegel"
1575895420370550784,doc_215,"@DmytroKuleba , branding the Nato symbol on his arm , he must know something , we dont . #Ukraine #Russia #EuropeanUnion #ZelenskyWarCriminal #Biden #UkraineRussiaWar https://t.co/IDIG8XqReh"
1575889907184041984,doc_255,"Merkel was wrong then, she is still wrong now. #UkraineRussiaWar"
1575880067099480064,doc_321,"Kremlin: Attack on annexed territory will be an attack on Russia 

#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian  
https://t.co/7PDmd30EDB"
1575867469469601793,doc_373,"Thread
#Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews https://t.co/ZN5DLZ1kFe"
1575864680630714368,doc_396,"3o/9
🇺🇲🇺🇦⚡️🇷🇺🔥
The USA reacts and will give weapons to Ukraine so that it returns all its territories — Biden.

#Ukraine #Ukrainian #UkraineKrieg #UkraineWar #UkraineRussiaWar #stopPutin #UkraineCounterOffensive #Donbass #Kherson #NATO #Europe #USA https://t.co/pCNkbAqlbw"
1575844904449675264,doc_517,"⚡️Zarichne is left deliberately opened as a way out to Russians.
This does not mean they will be allowed to escape. Russians must believe there is a road to safety, and thus prevent fight with the courage of despair.
https://t.co/aRQwsKH2nL

#UkraineRussiaWar #UkraineWar #Ukraine https://t.co/i9C2wjQZSL"
1575840695361089537,doc_548,"Russian POW : ""I didn't know were I was being sent, they told me it was just training."" 
100% he is lying.
#Russian #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristState https://t.co/uHTlrAR3nv"
1575838152723689472,doc_562,UN Secretary-General Condemns Russian Annexation of Ukrainian Territory - Kyiv Post - Ukraine's Global Voice https://t.co/OQGS1qkE5r #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews
1575837173697417217,doc_576,Sham referenda coordinated by Putin's administration - intelligence https://t.co/FQMfIylUKS #Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews
1575835561981792257,doc_583,"Thread

#Ukraine  #UkraineRussiaWar #UkraineUnderAttack #UkraineWarNews https://t.co/8XXWXnThPy"
1575833555053481985,doc_595,"Hey @NATO don't we have an ICBM close enough to fall into Putler's lap?

#UkraineRussiaWar #russiaisateroriststate"
1575831418063945729,doc_608,"8/8

Reported on the tense situation in the Limansky direction.

https://t.co/9hfZFsph0F

#Lyman #encirclement #UkraineRussiaWar #UkraineWar #Russian"
1575831334660055040,doc_609,"Mur fuck lilek innifsek, Putin!
(Maltese)

#StopPutin #UkraineRussiaWar #PutinWarCrimes #Ukraine"
1575827577687527424,doc_647,"I would like to declare that Mr Putin is mad. I would also like to declare that I have held my own referendum and shall be imminently annexing Moscow following a massive landslide vote
#UkraineRussiaWar #PutinWarCriminal"
1575827103072649216,doc_654,#UkraineRussiaWar Update: Vladimir Putin says people of Ukraine occupied regions are 'our citizens forever' | reported by news agency AFP
1575823478745620480,doc_726,"The Ukrainian defender playing the flute in the trenches.💛💙
#Ukraine #Ukrainians #UkrainianArmy #UkraineRussiaWar #UkraineWillWin #flute #music #counteroffensive https://t.co/MHA1lDblxw"
1575822935809413120,doc_736,"Putin has arrived! 
#Russia #RussiaInvadedUkraine #Ukraine #UkraineRussiaWar
#BREAKING https://t.co/W0R0Kx7ots"
1575820700719280128,doc_780,Paratroopers from the 95th brigade destroy a Russian tank 🦅 #Ukraine #UkrainianArmy #UkraineRussiaWar #Ukranian #UkraineWarNews #Ukrainian #StandWithUkraine #Russia #russiaisateroriststate #RussiaIsATerroristState #RussiaIsANaziState #SlavaUkrainii https://t.co/NxaEweLdBn
1575814715124895745,doc_861,"#219dayofwar

⚡People who behave irresponsibly talk about nuclear escalation. We do not want to develop this topic. We urge everyone to behave responsibly - Dmitry Peskov, Kremlin spokesman⚡

#UkraineWar #UkraineRussiaWar #Ukraine️ #StopRussiaNOW #RussiaIsATerroristState https://t.co/zgZS43C8XH"
1575814230397177856,doc_871,"@JanezLenarcic This is absolutely cruel to categorise the victim and the perpetrators in the same basket. Your failure to tell the truth for what it is is enabling genocide in #Tigray.
Would you say the same in the case of #UkraineRussiaWar? You won't and the reason for that is loude &amp; clear."
1575813822786551808,doc_882,"Ukraine is not better than Russia.
Today they killed 23 people in Rocket attack on a civil convoy.
Although I am against the invasion but I am also against western biased coverage that turns back on ukraine war crimes.
#UkraineRussiaWar 
#poundcrash"
1575809946251239424,doc_933,"Russian strike kills 25 as Kremlin to annex Ukraine regions 
#Russian #UkraineRussiaWar 
https://t.co/bmuiM5TJGd"
1575808674068824064,doc_944,"As Putin celebrates the biggest annexation in Europe since Hitler with a pop concert…#Ukraine steadily surrounds his forces in #Lyman .

 #Putler #SlavaUkraini #UkraineRussiaWar #UkraineWar #UkrainianArmy #PutinIsaWarCriminal 

https://t.co/f9sWrQmLxg"
1575801117036138499,doc_1012,"Will 🇮🇹Italy Leave the European Union After the Last Elections?
#Italy #Europe #Italia #UkraineRussiaWar"
1575797895709589504,doc_1057,RUSSIA SHOULD NOT EXIST! The biggest mistake of humanity. #russiaisateroriststate #Dnipro #Zaporizhzhia #Mykolaiv #UkraineRussiaWar #GenocideOfUkrainians #Genocide
1575789380068777985,doc_1138,"I can help you by designing highly converting landing pages, websites, forms, email templates, build sales funnels, and set up campaigns and automations.
https://t.co/Oh8Zf6o11d
#LoveinTheAirEP7 #doggy #XRP #NordStream2 #UkraineRussiaWar #UkraineWar #UkrainianArmy #HurricaneIan https://t.co/VHwIiRybN2"
1575787540338339841,doc_1160,"""It's very unlikely it's been done by anybody else than a state.""
-- Swedish energy minister Khashayar Farmanbar
https://t.co/DINMq9L1tl
#fintwit 
#Commodities
#energy #NaturalGas
#UkraineRussiaWar
#economy"
1575783107286151168,doc_1191,"Russian Oligarch Avoids Sanctions Despite Apparent Ties To Nuclear Weapo... https://t.co/8tTRFAqann 

#Ukrainian #UkraineWillWin #UkraineWar #UkraineWarNews #Kyiv #Kherson #iziummassacre #Izium #Izyum #UkraineRussiaWar #UkrainianGenocide"
